Token,Count
9834,2419
7103,1929
8581,1923
10042,1064
8646,966
5171,873
1497,777
3876,774
7540,698
752,697
9673,692
11466,666
8983,661
4815,649
15089,641
12842,640
3061,635
7864,629
948,628
4945,626
6328,621
1268,619
10227,618
9407,618
13417,617
7160,606
14435,598
12861,593
7575,592
7365,591
14447,584
16301,569
6369,567
5762,563
13670,561
14703,558
12139,558
11456,556
7467,542
9897,542
2635,541
12659,538
8867,537
9032,537
1304,535
2029,535
663,533
9900,531
6805,530
7771,530
2216,530
14379,527
7542,526
15523,524
7749,523
424,520
11004,517
5772,511
2528,509
11147,506
7054,506
13500,506
5885,504
3915,503
9650,503
12426,503
12187,503
6965,500
12016,500
941,497
3974,496
9470,495
13909,495
3170,494
14975,493
11325,493
6172,489
8075,488
13050,487
4493,486
7752,485
601,484
1208,484
15630,483
6242,483
11674,483
14240,482
3583,482
1008,481
5605,480
8517,479
4811,478
1133,477
9393,477
10200,474
142,471
15771,470
13687,469
10278,462
14076,462
