Token,Count
1024,750
1811,702
11325,690
10912,634
6172,624
9673,621
9203,608
11466,576
8862,570
10813,569
1495,561
3583,560
12016,559
11993,552
15771,549
14703,547
8581,547
2528,543
6690,536
6805,534
5772,533
1052,531
4945,530
15575,526
5031,524
6808,521
5305,515
6598,514
663,512
15729,509
12145,507
3547,506
14240,505
13513,503
2635,499
4912,497
4815,493
1989,491
13670,491
15826,489
9710,489
1193,484
10549,484
11605,481
1268,479
6078,477
8493,475
15813,473
3863,472
5762,472
9381,472
7752,470
5900,469
14447,464
6606,462
774,461
11456,461
4301,458
15464,457
1597,456
16223,455
11342,455
13687,454
3768,452
4648,452
6242,451
2778,451
6369,450
11718,449
15528,448
5605,447
5651,446
15282,445
5984,444
5919,444
6889,442
4099,442
11272,441
8447,439
9131,438
6328,438
12062,436
14164,436
15366,431
5053,431
1476,430
12353,430
11904,428
12861,428
14225,427
7103,427
3929,427
14247,426
1139,425
13183,424
12348,422
5286,422
9325,421
12623,420
9186,420
