Token,Count
1024,3880
10813,3028
12016,2659
1495,2632
11605,2439
5772,2410
15826,2311
14703,2261
13670,2141
5305,2041
15575,2022
6690,2008
5360,1922
4493,1919
4301,1900
11348,1562
1270,1549
12623,1444
5171,1429
15282,1392
16017,1295
14037,1289
9206,1253
1052,1198
948,1190
15771,1190
8867,1177
8322,1176
9889,1157
14164,1145
1139,1118
11904,1108
4815,1104
358,1098
2528,1089
7491,1087
14247,1034
4648,1012
14447,973
1556,951
1872,937
14420,936
9043,890
3037,877
9834,865
15331,863
11716,861
10549,861
5625,857
23,841
10042,830
6660,819
13909,815
4099,800
7467,791
6078,789
8283,787
1994,750
4945,746
14843,711
6783,708
8493,708
11492,696
9381,684
15525,662
14933,660
9453,651
12145,646
11334,646
11665,644
8170,638
16279,627
9470,627
10909,626
2255,625
11272,624
12566,611
3272,610
11718,599
6920,585
112,578
14673,577
5722,571
12480,570
16068,568
6172,554
8413,553
12618,552
1948,548
7106,545
11725,531
7504,518
2778,514
3442,506
882,505
4238,499
8583,496
6882,496
12187,495
2439,492
