Token,Count
11665,2240
13183,1994
5762,1968
7436,1930
6889,1861
11904,1727
7491,1701
9377,1689
12145,1686
9451,1631
9897,1626
1193,1515
15282,1391
12165,1372
6242,1356
15771,1353
1268,1329
6078,1313
7664,1306
6483,1228
4465,1215
9650,1190
1495,1168
8983,1150
3768,1147
11725,1123
8322,1122
10549,1107
11715,1106
4301,1089
9381,1087
9203,1064
11466,1057
9673,1042
351,1027
3583,1021
11811,991
1258,989
7160,970
4198,970
7540,957
5305,956
1989,939
1008,939
3212,927
6920,925
1069,916
271,911
7781,901
2594,887
8698,879
11605,862
3863,854
1024,845
9889,842
16338,819
2701,812
3547,812
14531,801
4099,796
14793,794
6808,793
7103,791
8609,791
6123,781
3210,776
12187,772
5062,764
4147,760
3061,756
12139,753
16279,746
4648,745
8493,745
2779,734
1755,731
9393,729
3386,721
11272,717
2193,716
12016,715
1811,713
6534,709
4236,708
752,699
8170,698
4945,695
11342,688
5243,681
1052,674
14843,671
14164,668
16068,656
3103,652
2920,649
15366,644
6328,639
2216,629
13326,626
12861,624
