Token,Count
9834,1120
1024,787
5772,738
14703,710
6690,696
9673,693
4945,691
11605,686
13670,683
12016,672
1052,669
14247,650
10042,650
5305,647
1268,644
1495,633
14164,617
10813,611
8581,606
4815,605
14037,600
6328,598
7103,595
4301,591
13909,590
1139,587
1989,587
15771,583
6805,574
5171,572
7467,571
2528,568
15575,566
14975,561
6078,553
4099,552
5360,552
358,551
12623,551
12187,549
4493,549
11716,544
11904,542
1811,542
11342,527
14447,526
8322,526
10549,522
948,521
7540,520
15826,515
12145,508
6369,503
3583,499
7864,499
663,493
8493,493
5722,485
112,482
7491,475
5885,474
3061,474
5762,473
10689,473
6783,471
4648,468
7749,466
15282,463
6242,458
1193,457
4203,455
3932,450
14933,448
9131,446
11591,445
6172,443
9381,443
16068,440
3876,435
12426,433
1948,433
1742,431
11348,429
11307,427
9043,427
1270,427
8361,426
3442,425
3042,425
12480,424
15366,424
16017,422
2635,421
15630,419
15525,419
6920,418
5053,418
8862,416
2216,415
8646,415
