Token,Count
9834,2687
10042,1783
7103,1194
8581,1150
5171,1088
4815,1073
13670,1055
5772,999
948,989
5360,976
8867,932
14703,922
14447,888
16017,885
15826,857
14037,854
9470,853
4945,853
4493,816
7467,811
13909,801
6172,784
6690,783
12016,782
2528,779
9673,769
1556,750
11334,747
9570,744
7540,743
23,730
1268,726
6328,724
6805,723
10227,716
1139,715
11718,711
7749,677
1872,677
14164,673
7771,668
14247,664
10813,663
1024,661
6965,652
11456,650
1270,648
1052,646
3061,634
15575,632
7738,615
14975,601
3583,593
11147,592
15771,585
7504,584
2778,582
1811,581
12623,579
6783,575
12566,573
12187,571
11196,565
11716,562
1495,559
601,558
7986,555
5722,551
5625,550
11605,548
11591,542
12618,541
5762,541
14673,541
3812,541
15523,539
2635,539
6660,538
3932,529
5113,528
7864,525
13291,522
7106,520
11466,518
910,518
6628,513
2255,510
358,510
13500,509
7191,508
14283,508
8283,505
663,504
12480,501
10278,499
6369,499
14240,496
11674,494
7151,491
12659,491
