Token,Count
9834,3230
10042,2103
1024,1177
5171,991
10813,925
4301,840
1270,808
15575,784
11348,781
15826,775
9206,735
15282,680
9570,669
14673,656
5305,654
4493,647
5625,638
3037,633
14703,631
11605,616
8283,599
5360,585
16017,584
13670,584
12016,583
1872,581
1139,576
6690,571
15630,570
14037,569
2439,568
1495,568
11096,568
358,563
14283,563
15331,557
7927,553
1556,550
13909,541
11492,540
9889,540
15523,538
14240,536
11904,534
2872,532
23,532
5772,531
5605,530
7738,525
11716,518
1969,510
1994,501
7467,498
3915,496
9453,495
12623,494
7752,494
5919,486
4203,486
5984,486
5651,485
1663,485
774,483
4238,483
10909,482
4648,480
10627,477
882,476
948,474
134,473
8867,472
11334,470
7151,470
5900,468
12566,467
11147,464
12426,464
8170,464
4839,464
9043,462
12480,461
6660,459
14247,457
15265,456
12838,455
3386,455
4815,453
5286,452
14843,451
16146,450
6369,450
16279,450
6882,450
10553,449
10228,449
3974,448
3809,448
14878,447
5885,447
6879,445
