Token,Count
9834,1078
7103,1038
8581,978
10042,889
4815,684
9673,678
6328,644
6172,629
7864,619
2635,616
9407,615
6805,606
11456,606
11466,600
8646,596
6369,595
3974,594
601,592
12842,589
7365,588
3583,585
663,583
16146,577
9470,570
10227,566
7054,563
7540,562
13757,555
1268,551
4945,550
2959,550
5984,548
6879,548
15523,542
16301,542
9897,541
12659,540
14447,540
2216,540
3915,540
7752,539
3876,539
7160,539
11325,538
14240,537
9103,536
1497,536
12139,534
7771,533
7575,533
9656,532
142,531
8517,527
3061,527
14435,525
1663,522
5605,521
11718,520
5068,520
1274,520
6965,519
1811,519
2528,518
13670,514
424,512
5900,507
1969,507
1304,506
5762,504
752,500
15383,496
14975,495
15265,494
15630,493
2872,490
12861,484
948,483
3386,482
9032,481
12426,480
1008,479
5772,478
9900,472
8983,472
774,471
13579,471
15702,471
7151,469
5839,469
11196,466
14531,466
9650,465
7467,464
10620,463
10180,462
7749,461
11342,458
5286,456
9354,454
1208,454
