Token,Count
10042,1203
9834,1078
8581,1007
5171,788
4493,754
9673,724
7540,713
12623,693
10909,693
8867,690
1268,688
7103,683
12618,682
14703,681
4815,675
9296,666
948,665
1872,663
2255,651
11718,643
12016,641
13670,637
9453,632
7504,632
1139,631
6328,628
6369,628
4945,626
3915,624
7864,622
663,611
15826,608
12426,607
14447,606
7467,598
9470,598
6805,598
5772,589
14037,588
6242,584
10813,584
941,580
2528,579
3974,577
3061,576
13909,574
10227,574
14435,573
5360,567
12842,566
2127,565
882,562
9897,561
2635,561
1586,558
7365,557
8283,557
7151,556
8447,555
1024,551
7436,549
6690,548
6172,547
8408,547
4203,546
5762,542
11456,540
7771,540
15331,539
7160,538
12187,538
5885,536
8517,536
11605,536
9570,536
3583,535
5625,535
6523,533
11096,532
1811,531
9407,530
14975,528
1495,527
1556,524
12566,524
2216,522
15276,522
7696,520
15771,518
14164,517
8583,515
15575,515
16017,514
11716,514
1052,514
11325,511
11725,511
9131,505
1008,505
14247,505
