Token,Count
9834,3153
7103,2778
8581,2426
10042,1876
8646,912
7540,900
3876,776
1497,760
12842,745
9673,735
9407,720
13417,719
8983,706
3061,706
12139,680
6369,680
15089,665
11466,665
7365,660
16301,651
14435,646
2216,640
3974,630
1268,624
424,621
9570,612
9897,604
12861,603
5171,600
6328,596
752,594
14379,592
948,585
12426,584
7160,580
16146,577
8517,573
3915,570
1008,568
4945,566
11674,565
15523,558
5762,555
5605,554
7864,551
4815,550
7749,541
6242,540
7752,537
7575,536
9032,535
7151,535
12187,525
5984,518
10228,516
8867,515
5900,513
7738,509
7467,509
13909,507
2514,506
13670,506
11147,505
7482,504
142,504
9650,503
14703,503
2959,501
4326,499
5885,496
5919,496
14975,496
6805,496
14531,491
7436,491
1274,487
15630,486
3386,484
7771,480
14240,478
4839,473
13757,472
1208,469
9900,468
10627,467
14225,463
9656,462
14592,462
5286,461
14283,459
7054,457
14416,456
3583,455
8382,454
8075,453
1850,453
12016,453
9393,448
2872,447
10227,447
