Token,Count
9834,9787
10042,5125
5171,1986
9570,1367
7738,987
14673,966
14283,892
4238,790
16017,787
948,787
5360,782
8867,768
14703,751
15826,751
4493,748
1270,727
5772,721
4815,715
13670,714
5625,702
10813,700
23,686
14037,684
1556,683
1024,681
882,661
7927,654
12016,642
1139,641
11096,637
1872,633
9470,630
15575,626
11334,622
8283,617
7467,612
9957,610
12566,604
10909,600
13909,594
10227,583
6882,577
6690,574
11605,564
2528,561
6783,560
11718,557
12480,543
15276,542
12623,541
7749,539
1495,538
11348,536
12857,535
7106,533
7103,524
8581,524
4301,516
9206,516
14447,514
2439,513
11456,510
14247,505
3516,505
11716,503
910,502
7504,502
112,497
4075,497
8408,493
13614,493
14420,492
5113,492
6523,490
10278,489
6172,488
4945,482
14164,480
5305,477
15331,475
9000,474
9589,473
2127,470
1052,468
358,467
9453,466
2778,464
6628,462
11904,461
14933,458
6660,456
10553,456
11147,453
10274,451
9296,449
8663,449
5722,448
4635,446
2255,441
4648,441
