Token,Count
14240,1037
10180,879
5588,857
9032,828
4710,823
5031,799
6606,785
14416,781
4811,779
15523,764
1476,760
1597,747
5651,744
14853,729
8075,727
4203,726
3915,721
2523,720
13519,720
9355,718
12509,714
15076,695
9186,691
8717,688
6058,685
8131,682
7749,679
14839,677
8668,675
8207,670
10797,669
15703,669
1721,667
7542,667
6386,666
8770,665
774,664
14076,661
7752,652
8517,651
14878,651
15303,648
10278,646
3963,641
7516,640
11674,637
1969,634
8888,633
15528,632
1553,629
941,624
10627,621
2872,617
13513,616
12353,612
2737,609
10200,608
11147,607
1227,606
5605,602
1711,602
5418,600
8361,599
10895,595
15963,590
11574,583
11227,582
13909,580
3168,579
6524,577
3932,574
14592,572
11941,570
7634,569
1304,567
12842,567
9819,566
6074,566
2029,566
5065,564
12480,563
4506,562
6882,562
1402,560
6628,557
3042,554
6523,547
10769,543
3742,540
5885,540
13291,536
13293,536
948,534
2105,534
4635,533
5919,532
8581,530
11004,528
13094,528
12625,527
