Token,Count
9834,7060
10042,5855
5171,2244
7103,1515
9570,1424
8581,1156
14673,840
9673,701
15826,675
8867,663
3061,653
948,642
16017,640
14703,630
4815,611
1268,599
5625,598
1556,595
6328,593
23,590
4493,590
7738,590
7540,587
14283,582
4945,579
12566,575
1872,574
6965,560
11334,556
11466,551
6369,550
14037,549
13670,544
14447,542
13909,536
15523,534
7749,532
10227,532
8983,531
7365,529
5360,524
12016,523
7467,520
8646,519
1270,517
7160,512
4238,511
7864,511
3915,509
15963,508
6242,508
12842,508
1139,504
12426,502
5772,501
12187,500
424,499
6805,497
9032,495
3876,492
14975,488
8075,486
14240,484
9470,483
1304,480
1811,477
7575,475
3583,473
2216,473
5885,472
12139,472
1008,472
882,469
7542,468
9900,467
2635,467
7771,465
13417,464
11674,463
5762,463
2528,463
10278,460
3974,460
10228,458
12659,458
11456,458
10909,457
9897,457
2029,455
1052,455
1497,455
5605,452
3932,451
7106,449
6606,449
14435,447
752,447
11004,445
1024,445
6172,444
