Token,Count
663,806
4203,777
6805,770
4912,737
9673,732
14008,723
1989,719
11342,719
8862,711
941,690
862,687
9131,684
1811,683
1052,681
81,673
6369,667
4815,665
7864,661
12426,660
2872,653
981,653
6328,648
3932,645
10689,636
3042,632
1742,632
8717,631
4265,631
8581,628
14247,621
14975,618
7467,613
4945,611
6994,611
15813,611
1139,609
11196,607
11716,600
5885,599
7542,597
12187,597
13579,596
5305,596
5772,593
11591,590
6078,590
6242,586
14164,586
4099,585
3915,584
1193,583
11325,583
8928,582
14076,581
7972,580
15575,578
5722,576
8361,572
14435,571
9710,571
14703,571
3168,570
6783,569
14240,567
7151,564
15771,562
15366,559
6965,556
10180,555
12145,555
10620,555
1024,555
6172,554
14878,553
13909,553
3386,550
5666,548
15523,546
3061,544
12016,543
13670,542
6524,541
5605,539
16160,536
12167,536
14447,534
1268,533
358,532
12285,531
11307,531
6690,531
3442,530
112,526
6598,525
5984,525
9203,525
16147,521
7540,521
2635,520
15729,518
