Token,Count
13670,1057
1139,1047
4815,1008
14703,1008
14037,981
13909,967
948,966
5772,914
1024,905
7467,896
15575,896
15826,863
12016,852
8283,851
14447,835
14975,833
5360,809
8867,806
11716,806
7749,794
14247,794
4493,793
6690,792
5722,790
6882,781
15523,780
9470,779
11147,774
6172,773
11718,772
1556,771
10228,768
6783,764
4945,761
112,757
3932,734
11591,732
1495,732
14134,728
12480,726
10813,719
7151,718
1872,716
11196,711
358,711
1052,711
6965,709
12187,704
6805,701
10227,695
5885,689
3742,685
3042,681
8361,680
14164,671
14240,669
12272,664
6328,663
11674,661
5919,656
10627,654
9010,652
774,649
2528,646
6243,643
5605,634
9000,634
5305,631
11605,631
7191,627
7771,625
15645,625
3168,614
9834,614
2523,613
11456,613
15366,612
5286,611
15771,610
8663,607
663,605
2778,604
3812,604
7516,603
1811,599
4635,597
12426,594
10278,594
11307,591
7504,586
15630,585
7106,584
2105,582
16017,582
9673,580
11342,574
10689,572
16274,570
4099,569
13291,568
