Token,Count
10912,1312
11993,1077
16223,1068
11325,1040
6598,974
1811,957
15729,915
6808,914
9203,881
8527,847
6172,844
7315,820
8862,782
16147,772
2778,720
4912,713
13687,706
15813,702
13967,695
12062,689
6994,679
5522,679
12786,675
2384,672
9710,668
3583,663
8694,653
1125,651
5839,649
8447,645
13427,615
663,609
9673,607
11272,606
6274,603
9325,596
6007,596
2635,592
7292,590
11466,587
10549,583
6690,580
11456,576
6805,569
1183,562
1024,560
9354,556
1663,555
867,554
8493,536
15630,531
13757,527
11718,526
7986,525
5564,523
81,521
9019,520
752,506
13037,505
1193,505
5542,504
10721,503
9255,500
7465,500
16035,500
4830,497
3929,496
3846,496
6945,494
15702,488
14068,487
15978,486
1052,481
11211,481
12215,479
3812,479
13712,476
2214,476
6879,475
15771,474
4179,472
16031,471
14102,470
12167,469
13810,469
6660,468
2528,467
3262,467
7752,465
3212,462
13183,460
6933,458
601,457
1989,456
9470,455
1969,452
6779,449
1936,448
7864,447
16146,447
