Token,Count
14247,836
112,829
13670,788
5722,782
1024,774
4099,757
358,748
6690,729
11716,724
5305,720
1948,716
15575,709
5360,702
14933,701
14037,700
6920,699
3042,696
6783,690
1139,689
4815,688
2778,682
13909,680
9043,679
5495,673
14703,660
8717,658
14975,655
16068,648
6805,647
81,644
1742,643
11591,643
5772,641
16274,641
12016,639
7986,635
1052,635
14008,628
3932,625
8361,624
7467,623
774,623
663,622
9514,621
6172,614
3168,608
11196,605
7749,600
4648,600
11307,599
12272,591
5919,589
6660,588
6598,586
8928,583
3442,581
9470,581
11718,578
4203,577
5605,573
13236,570
2523,568
7151,565
8946,562
3812,559
14878,557
11941,556
10689,556
14134,555
5286,554
14240,554
16017,552
15523,549
15630,548
10813,547
11342,545
14164,545
9000,543
2105,543
4652,543
11587,541
1811,540
8663,540
5053,539
14494,538
8283,538
9131,537
1989,536
5900,536
9381,534
9010,533
11147,533
15645,533
12480,533
15366,532
7516,532
12426,531
6930,530
10627,530
2872,529
