Token,Count
10042,8700
9834,6226
5171,4307
14703,1611
4493,1573
15826,1547
13670,1534
8867,1504
948,1478
4815,1455
7103,1421
5772,1397
5360,1382
12016,1322
16017,1221
1872,1170
14447,1158
13909,1112
14037,1092
7467,1082
11718,1062
5625,1009
9470,1005
1139,1004
15575,968
9570,962
11334,951
8581,950
2528,941
4945,933
1556,928
6690,910
10227,908
23,901
12623,901
1024,896
7749,837
14247,828
14673,828
6172,825
1270,823
10813,813
14164,805
10909,801
11456,793
1268,788
12618,788
12566,782
6328,775
6965,759
7504,755
11716,745
11147,743
12187,734
11591,714
8283,714
6783,706
601,705
9673,705
4238,703
6805,701
7771,691
2255,691
3061,686
1495,685
7106,662
11605,652
1304,651
7191,644
15525,638
13291,637
358,636
1052,634
5722,631
14975,629
12480,626
14283,614
3812,610
9296,603
11196,596
9453,596
15523,595
882,594
15331,593
6523,583
7986,580
6660,579
11811,578
10278,577
2778,577
15366,576
11348,573
7542,572
1811,571
15771,567
12272,566
13500,555
10228,553
4075,547
5885,546
