Token,Count
4815,1218
5772,1206
1024,1167
14247,1152
14703,1142
12016,1112
15575,1048
11716,1037
1052,1034
13670,1023
5722,1006
1139,1006
14037,994
6805,987
7467,975
6783,961
14447,958
1495,954
358,952
5305,951
4099,948
13909,937
14975,936
14164,916
2528,895
112,892
948,881
11591,868
4945,860
4648,858
1948,854
6172,853
11196,839
4493,836
14933,812
16274,806
3932,796
1811,774
6690,774
11307,772
7749,768
12272,764
6965,748
6920,744
1742,744
15282,744
10689,743
15826,737
3168,736
8663,733
10813,729
8283,728
12187,723
1989,718
5360,707
11605,704
15366,704
3037,698
601,689
15771,688
12480,687
8322,686
15331,686
15525,685
6078,679
9514,674
11147,668
9381,667
6328,667
3442,662
12623,657
5495,657
15523,648
7771,642
3812,640
16068,636
9010,624
7191,623
8361,620
1872,618
3742,617
8867,608
3042,605
663,605
2635,604
4301,599
8946,596
9000,596
8413,594
8493,591
11587,590
5053,589
9043,588
6243,588
6628,587
15945,584
14008,582
11904,581
10549,580
7504,580
