Token,Count
14076,635
8770,634
9834,633
15528,632
14240,630
4203,619
8581,607
5588,606
14853,600
7542,597
4811,594
4815,582
10180,582
663,581
14878,579
9470,572
6805,566
10042,563
7749,562
6628,560
1476,556
1304,555
10797,555
6464,555
9355,553
774,553
8075,550
15910,550
13519,547
4506,545
3932,544
8717,539
3168,535
13909,534
1597,534
9819,532
10200,529
10227,529
9186,528
8517,523
948,522
5722,519
11456,517
8361,517
3042,515
941,515
15076,513
5651,513
1969,511
10278,510
11196,510
14247,508
14703,507
6058,505
5605,505
12659,504
2872,503
5919,500
14975,499
112,499
2481,499
2635,499
7864,497
4265,497
4945,495
2523,493
3915,491
6172,491
13513,491
7103,490
15703,490
9673,485
14037,483
1139,481
12426,481
5113,481
14008,481
15523,477
15265,477
2105,477
3812,476
81,475
15630,475
5984,473
2029,472
13579,472
7516,472
11718,472
8867,470
3963,469
6783,467
11147,467
5885,466
13500,466
6369,466
7467,464
11012,464
12842,462
9900,462
13670,461
