Token,Count
7103,1161
8581,1115
1268,1049
1495,1008
4945,977
9834,966
15771,960
9673,933
10549,932
11605,928
12016,921
5762,887
11466,871
11665,869
5772,862
2528,845
3583,821
10042,809
12623,809
1811,805
13183,799
1024,795
14703,795
14447,793
6690,788
11725,782
11904,778
14164,760
6328,751
7436,751
7491,747
3061,743
8322,743
7467,735
10813,734
4493,732
12187,722
5305,715
1052,704
4815,704
12145,703
7160,702
15282,693
11718,677
6889,676
7504,674
8447,673
13670,672
6172,667
6078,663
9203,663
4301,654
6242,653
7540,645
9897,645
15525,639
15433,638
1989,638
1193,622
8698,616
14247,614
6369,610
3379,607
8413,607
6808,605
6805,604
15366,602
2635,602
5360,601
12062,601
16226,581
11811,574
8983,572
8173,570
2255,565
6660,564
13909,563
11993,560
948,556
14793,553
11272,551
7771,546
12823,542
351,539
9381,535
15575,535
14975,534
1139,531
11325,529
7365,529
4099,528
10228,526
9470,526
1755,525
1008,523
11591,519
5171,518
7151,516
9451,513
11456,511
