Token,Count
10042,6150
9834,5954
5171,3341
13670,1495
15826,1377
5360,1349
8867,1288
16017,1188
4493,1148
948,1141
14703,1133
4815,1104
1556,977
14037,948
1872,900
14447,894
12016,874
5772,865
1139,861
13909,838
1270,818
5625,811
7467,809
7103,809
9570,807
23,795
4945,779
11334,767
15771,763
1024,762
10813,755
9470,736
15575,730
12566,698
14673,695
2528,689
6328,678
1268,676
10227,674
8581,673
7749,669
8283,666
14247,664
14164,663
6965,661
4238,657
1495,653
12623,647
6805,642
11456,640
9673,640
6690,631
11716,620
11718,617
11348,610
1052,601
6172,597
6783,591
7771,587
10909,586
358,581
12187,575
5722,575
7106,568
11196,566
6882,563
882,558
1304,557
14975,556
910,555
11591,555
10278,551
12480,547
11605,541
7504,537
3583,537
3061,536
12618,533
601,531
13291,530
2635,527
9206,520
14420,513
6523,513
15331,512
7191,503
8322,503
663,494
6628,491
7864,490
14283,490
3812,490
1811,489
3932,488
11147,487
112,486
12659,486
12272,479
9453,478
5305,476
