Token,Count
7103,977
5605,962
14240,887
2872,828
1969,813
7151,791
8581,790
14878,782
13579,774
5919,762
9834,760
3915,754
10180,753
4203,745
5984,735
12426,727
7752,725
11674,723
3974,722
8517,718
774,715
5900,712
7864,701
11342,697
9032,696
5286,696
3042,690
9186,690
1008,684
3061,684
2216,683
3386,682
15265,682
15523,677
9673,674
12842,668
5651,664
8131,661
6242,659
5666,656
6369,654
7540,644
15630,643
5885,642
424,639
4811,629
16146,627
941,626
8717,619
14975,616
9131,612
7482,612
14134,611
10228,609
14435,606
13757,606
7542,605
663,604
1476,603
862,601
4839,597
14416,597
6879,590
1268,589
2523,589
12139,587
9897,581
7160,577
8928,577
3932,572
13050,567
3963,565
14531,565
16301,565
12187,562
134,558
7365,557
8361,555
5588,555
6328,554
2737,554
7575,553
3768,552
14225,548
2514,547
14008,544
8698,539
12659,535
15645,535
5068,533
1553,531
10710,530
8770,528
1721,528
11326,527
9900,527
15366,526
6058,526
7771,522
1711,520
