Token,Count
12618,838
9296,820
4493,766
2255,761
7504,759
11718,734
14703,716
4815,710
12623,690
10909,676
9470,673
13291,671
13909,663
7467,663
12159,656
9834,655
7151,653
1139,648
6369,646
948,642
2127,640
5984,639
8867,638
10227,631
3974,627
10042,626
12426,625
12016,624
5605,619
1872,619
15431,614
7771,610
9673,606
11674,605
4945,604
13670,604
11456,601
6523,600
10997,599
15883,599
12842,595
8581,594
7749,592
14447,591
4203,591
3915,589
10627,588
15826,588
15331,588
9453,588
5900,587
8517,586
941,584
774,577
601,577
14975,576
9000,574
6328,574
15366,574
5286,574
5171,573
7191,572
3061,571
10228,570
7864,568
3932,565
11147,564
8408,562
2216,562
14240,562
10813,561
14435,560
5919,560
663,559
15523,554
5772,553
11716,552
5885,552
7696,550
9900,550
1586,548
1024,544
6805,541
1702,540
10019,532
13157,530
12139,529
6965,529
1008,527
16017,526
5360,525
6690,524
2635,523
16146,521
7540,516
8173,514
9131,514
14037,511
3379,510
2528,510
