Token,Count
3863,1792
9381,1568
4648,1546
6920,1484
4099,1431
3037,1413
11587,1310
1024,1302
6092,1298
6123,1259
14933,1246
15366,1242
15282,1233
2920,1221
6483,1204
5053,1198
1948,1174
14843,1114
11716,1089
3547,1085
8322,1082
6889,1071
5305,1065
8834,1037
1972,1018
16274,1000
11811,997
12145,994
12016,978
11715,970
14494,963
12272,960
11024,956
15525,943
15575,940
5666,938
14164,936
10689,917
15422,905
14247,904
12187,901
1139,895
14975,886
1495,884
112,881
9589,879
8663,874
11307,856
4301,852
1755,849
3768,849
7151,845
4147,843
11342,838
358,827
11235,817
11904,810
10639,804
2524,796
6113,793
7491,792
14703,791
15883,790
5495,790
6242,789
3927,788
8928,786
14176,770
5722,767
15331,764
1069,762
7467,750
6078,749
9514,749
10228,747
11492,743
3851,743
13226,741
5900,727
15645,718
8698,717
1052,716
9206,714
11927,712
1989,704
8413,702
10813,700
4236,700
11725,697
9010,694
14134,692
4945,689
5062,679
8283,674
3061,674
5286,673
3042,672
5772,670
12426,668
7191,663
